driverId,lat,lng,speed,bearing
D22,18.552632,73.828578,116,144
D36,18.509595,73.892133,7,307
D9,18.512563,73.852858,86,290
D21,18.532651,73.88111,6,43
D20,18.476806,73.847612,39,219
D12,18.492673,73.858157,33,225
D30,18.507801,73.84517,6,203
D8,18.550359,73.887221,10,360
D42,18.507243,73.835112,30,105
D20,18.492771,73.865618,87,157
D36,18.53816,73.849541,63,313
D19,18.51369,73.826402,45,289
D36,18.50179,73.890637,119,306
D10,18.507891,73.838165,3,307
D36,18.556219,73.903597,31,100
D21,18.471844,73.879228,44,89
D36,18.502682,73.897168,0,175
D43,18.491151,73.870865,31,294
D11,18.497572,73.888136,0,147
D38,18.56766,73.889404,102,64
D13,18.563002,73.827805,38,334
D11,18.484941,73.822831,6,35
D33,18.502992,73.870844,94,247
D8,18.526708,73.896848,33,227
D5,18.534756,73.88916,45,223
D29,18.542965,73.860123,115,225
D49,18.556909,73.830712,56,210
D7,18.561091,73.876034,116,14
D25,18.522894,73.902999,47,295
D38,18.492666,73.899334,8,37
D14,18.471468,73.813732,32,143
D17,18.53857,73.817937,52,322
D10,18.560029,73.897426,70,262
D44,18.480708,73.846598,34,147
D20,18.473129,73.837205,3,62
D6,18.480964,73.821776,43,35
D25,18.538668,73.884529,48,133
D44,18.561925,73.825633,47,52
D3,18.508614,73.866927,86,356
D31,18.470887,73.825578,103,258
D18,18.486603,73.836511,4,195
D14,18.561012,73.862548,80,274
D35,18.552794,73.810804,58,73
D7,18.562855,73.869717,2,243
D38,18.498872,73.838741,58,28
D25,18.516044,73.89411,7,59
D18,18.500945,73.80996,8,54
D5,18.506917,73.870664,58,192
D18,18.525842,73.838266,41,189
D24,18.562463,73.840495,41,34
D15,18.519785,73.875536,6,343
D40,18.486487,73.900328,6,10
D7,18.528704,73.872671,102,7
D8,18.555792,73.883086,47,247
D47,18.476849,73.888105,10,72
D35,18.516205,73.83093,63,338
D24,18.558366,73.857088,1,93
D9,18.545316,73.810565,66,78
D38,18.478844,73.884824,67,172
D25,18.474139,73.81933,5,290
D14,18.529621,73.812146,55,210
D30,18.501027,73.875654,69,335
D6,18.506021,73.851598,35,257
D19,18.488456,73.846384,55,95
D20,18.542454,73.868737,87,148
D17,18.551333,73.886637,41,345
D24,18.51245,73.899745,83,38
D20,18.549363,73.871358,57,54
D48,18.519816,73.885382,35,112
D13,18.52068,73.807678,42,246
D37,18.54239,73.815261,57,111
D14,18.483264,73.893815,3,267
D5,18.4723,73.881888,31,327
D33,18.509473,73.878544,86,334
D2,18.510412,73.807718,69,148
D17,18.475484,73.838439,40,279
D2,18.53905,73.835373,56,29
D21,18.524674,73.884859,2,347
D24,18.475188,73.814399,52,28
D41,18.564816,73.809799,35,319
D39,18.556931,73.873218,50,89
D31,18.548902,73.819235,2,263
D29,18.553633,73.845624,84,82
D38,18.567041,73.829461,109,214
D23,18.502575,73.893792,51,270
D19,18.533807,73.906012,88,237
D4,18.518831,73.812106,96,328
D2,18.490393,73.856134,57,119
D49,18.56278,73.860524,58,201
D49,18.565604,73.828731,110,297
D28,18.533309,73.884896,0,235
D50,18.553737,73.870731,46,181
D34,18.546291,73.893273,32,9
D46,18.493109,73.90646,70,124
D16,18.488943,73.841718,2,15
D19,18.525547,73.858825,54,349
D47,18.566178,73.853699,3,69
D32,18.489656,73.829907,2,215
D6,18.544597,73.845482,40,347
D48,18.506685,73.880199,3,181
D5,18.501547,73.839838,80,51
D28,18.53454,73.843625,105,269
D31,18.487318,73.824081,68,167
D47,18.526265,73.90218,42,336
D9,18.534424,73.836262,1,338
D40,18.511121,73.812118,4,70
D49,18.562411,73.844573,7,96
D13,18.568879,73.857264,64,53
D46,18.545191,73.869844,68,360
D22,18.556747,73.826063,54,157
D23,18.483647,73.849233,56,38
D16,18.518163,73.842823,50,111
D41,18.539667,73.818085,70,201
D17,18.567456,73.858322,60,229
D42,18.495071,73.894586,39,72
D41,18.520133,73.851147,56,248
D16,18.50283,73.822757,111,330
D27,18.555188,73.885706,119,191
D36,18.545253,73.868617,45,319
D33,18.487167,73.877373,106,199
D29,18.546315,73.851136,4,197
D46,18.514692,73.816577,8,283
D24,18.479512,73.883181,45,164
D10,18.543052,73.843742,65,161
D9,18.565111,73.837516,53,210
D50,18.486339,73.885464,32,356
D49,18.566702,73.875686,63,333
D43,18.485414,73.832339,62,299
D18,18.514882,73.89769,106,231
D30,18.481699,73.851135,55,356
D46,18.529087,73.823729,81,69
D42,18.556834,73.854161,66,87
D6,18.532472,73.859941,93,289
D1,18.47193,73.897071,39,137
D8,18.515924,73.861899,82,342
D37,18.515734,73.888514,85,66
D31,18.504282,73.842364,81,147
D43,18.553371,73.897432,56,231
D38,18.495626,73.837482,52,10
D30,18.491766,73.869134,34,204
D10,18.534701,73.87423,6,21
D18,18.538924,73.867914,34,226
D12,18.48891,73.892593,51,147
D24,18.554995,73.815017,10,203
D4,18.484471,73.851254,45,354
D28,18.480585,73.814554,39,328
D19,18.478662,73.880833,41,51
D16,18.505882,73.854244,65,336
D2,18.473813,73.863793,48,216
D48,18.564716,73.818169,8,244
D47,18.479471,73.810843,83,148
D1,18.506464,73.872258,67,184
D49,18.525735,73.867271,59,49
D47,18.479395,73.835294,101,58
D44,18.5355,73.818524,65,322
D31,18.497637,73.811619,7,113
D15,18.474969,73.889252,31,75
D6,18.539659,73.881155,44,179
D25,18.48737,73.865745,66,211
D47,18.487467,73.861834,87,288
D19,18.487932,73.846106,32,345
D29,18.546818,73.817884,53,228
D45,18.56963,73.869531,106,253
D15,18.529,73.83564,4,179
D35,18.522667,73.823023,44,110
D18,18.534257,73.898043,108,268
D46,18.473453,73.862549,6,50
D41,18.549129,73.817361,59,256
D21,18.479717,73.819454,57,262
D39,18.558045,73.82977,68,296
D33,18.475751,73.894276,10,225
D8,18.550861,73.866975,63,237
D22,18.485483,73.866052,3,63
D26,18.480099,73.826569,2,133
D15,18.530017,73.834248,59,167
D2,18.5467,73.817031,42,126
D2,18.538213,73.887182,42,90
D7,18.553744,73.843974,45,67
D29,18.565133,73.867106,39,101
D30,18.543197,73.811566,52,57
D43,18.56842,73.830759,38,280
D20,18.50216,73.878083,36,335
D24,18.535599,73.84848,5,259
D49,18.566904,73.905614,33,282
D48,18.552915,73.854217,44,196
D50,18.521844,73.889652,32,276
D41,18.503269,73.897615,36,252
D20,18.495416,73.857447,106,5
D11,18.505588,73.86608,62,40
D32,18.527936,73.878445,85,235
D40,18.546381,73.814634,48,179
D21,18.534102,73.90177,62,109
D41,18.508036,73.837445,69,291
D17,18.50869,73.865751,101,168
D41,18.474496,73.861304,31,114
D10,18.527831,73.836852,38,153
D42,18.540349,73.882659,61,305
D23,18.47875,73.855357,50,330
D42,18.562831,73.899461,47,304
D24,18.534352,73.822975,42,235
D37,18.498123,73.890616,47,288
D26,18.531437,73.874195,33,231
D8,18.565233,73.828105,119,169
D46,18.510215,73.88591,43,66
D37,18.517616,73.82372,56,312
D24,18.502572,73.848281,65,12
D28,18.472697,73.892018,53,99
D1,18.558897,73.851439,39,255
D20,18.505768,73.856977,1,62
D30,18.509448,73.835142,10,73
D25,18.568242,73.865495,53,280
D47,18.564537,73.895568,88,104
D28,18.553216,73.869059,42,35
D50,18.51612,73.825538,5,251
D30,18.517396,73.891734,44,320
D31,18.492293,73.868836,67,248
D28,18.505356,73.887003,45,309
D19,18.565631,73.83331,66,126
D1,18.49178,73.885371,39,22
D33,18.533547,73.895347,65,173
D5,18.493023,73.865609,69,334
D29,18.556109,73.863864,54,308
D47,18.516405,73.860409,57,339
D25,18.530129,73.841587,57,40
D24,18.495418,73.825514,60,322
D36,18.540614,73.887651,45,3
D36,18.514156,73.846254,30,109
D13,18.569097,73.893337,86,146
D26,18.530144,73.849245,52,79
D45,18.506511,73.883311,61,135
D26,18.478241,73.810443,47,328
D33,18.499836,73.899737,70,116
D1,18.473054,73.853964,109,342
D39,18.501176,73.847008,52,331
D40,18.498472,73.81729,33,357
D3,18.511269,73.853229,83,317
D48,18.563289,73.823151,50,53
D13,18.499882,73.881789,32,135
D30,18.565898,73.851603,6,107
D6,18.487406,73.80949,6,288
D30,18.499069,73.854958,62,3
D42,18.4906,73.878717,9,158
D34,18.483493,73.846874,48,150
D20,18.554607,73.851583,6,108
D40,18.523162,73.820792,69,163
D31,18.565606,73.861122,34,360
D17,18.54809,73.851091,37,155
D6,18.488384,73.862062,55,347
D5,18.562865,73.820041,7,83
D1,18.55905,73.819918,40,279
D42,18.532587,73.822666,8,341
D40,18.519642,73.814943,49,44
D48,18.550167,73.898153,119,59
D35,18.472875,73.873273,60,343
D10,18.494546,73.811301,58,56
D28,18.532074,73.868985,57,121
D1,18.51685,73.880712,1,200
D9,18.470684,73.863976,39,206
D25,18.534934,73.816146,49,207
D32,18.484343,73.893997,6,188
D50,18.561837,73.902475,45,277
D24,18.557357,73.815314,58,230
D21,18.515728,73.858417,55,190
D43,18.509289,73.893626,47,248
D28,18.479383,73.881897,35,157
D43,18.546767,73.890534,54,44
D42,18.510014,73.819101,53,166
D10,18.526765,73.856171,45,252
D13,18.473388,73.865318,118,30
D35,18.514155,73.827575,82,91
D40,18.54089,73.85227,53,323
D25,18.521141,73.818547,65,26
D28,18.561775,73.88274,69,103
D19,18.532584,73.86142,58,133
D38,18.537043,73.891928,68,14
D44,18.502332,73.811695,55,291
D39,18.502776,73.905937,6,28
D5,18.556138,73.873403,34,354
D28,18.5103,73.817124,70,306
D32,18.474769,73.842604,50,7
D33,18.569615,73.850902,43,89
D37,18.482011,73.816213,67,198
D27,18.483706,73.808493,1,104
D34,18.538507,73.850862,35,40
D15,18.539959,73.835782,32,227
D26,18.493527,73.86647,70,165
D31,18.536824,73.878924,64,187
D25,18.498906,73.842798,4,269
D6,18.524727,73.82451,2,259
D28,18.480042,73.853349,65,226
D24,18.498185,73.811872,6,323
D32,18.502352,73.852473,49,100
D28,18.47374,73.882716,66,223
D22,18.538021,73.878421,64,212
D28,18.528132,73.88489,30,244
D10,18.492286,73.817399,31,295
D20,18.47952,73.87025,33,271
D15,18.504018,73.870084,70,64
D8,18.521815,73.863541,31,160
D18,18.569309,73.900798,114,290
D4,18.483339,73.848326,48,303
D17,18.540341,73.825096,39,301
D44,18.51609,73.808955,66,274
D17,18.51857,73.807154,60,358
D50,18.477751,73.874649,48,69
D21,18.500286,73.829142,50,300
D23,18.483668,73.888109,59,90
D49,18.513059,73.816222,7,322
D11,18.536164,73.85176,66,172
D29,18.551513,73.819226,117,17
D29,18.529798,73.890418,57,244
D24,18.559761,73.893409,65,15
D17,18.522604,73.860793,52,251
D2,18.480138,73.840819,52,33
D42,18.497678,73.877035,65,78
D24,18.498134,73.887633,37,60
D34,18.52037,73.888599,44,63
D44,18.568083,73.817901,42,241
D33,18.524629,73.883865,60,199
D3,18.540585,73.817594,103,190
D39,18.513262,73.809364,50,70
D4,18.556335,73.808584,119,25
D20,18.482397,73.89283,1,36
D49,18.51228,73.862526,0,186
D19,18.50181,73.834661,56,14
D13,18.523272,73.846759,119,155
D16,18.552053,73.830907,96,193
D50,18.527418,73.889141,53,15
D20,18.490265,73.88138,45,57
D39,18.568836,73.880743,34,5
D29,18.504853,73.82069,62,162
D39,18.522774,73.874721,50,348
D31,18.481861,73.842624,37,66
D19,18.471637,73.842666,42,311
D26,18.518399,73.825664,51,60
D29,18.522406,73.87351,51,237
D2,18.56896,73.837028,41,174
D21,18.481679,73.832053,60,40
D23,18.520138,73.87659,47,49
D22,18.555206,73.859162,0,359
D35,18.505312,73.887459,111,165
D49,18.527401,73.902753,9,327
D43,18.511829,73.880725,85,52
D14,18.494873,73.873178,62,352
D11,18.500776,73.902301,54,149
D25,18.513336,73.869898,86,319
D48,18.521367,73.823788,40,75
D28,18.531072,73.822147,99,137
D23,18.509595,73.813921,68,344
D25,18.499213,73.868443,45,357
D20,18.548549,73.823275,61,67
D1,18.557768,73.905006,10,299
D7,18.519972,73.85308,31,184
D3,18.569618,73.869794,54,136
D23,18.482644,73.873801,61,77
D42,18.50911,73.850601,55,247
D50,18.475721,73.828656,40,152
D7,18.525402,73.841384,64,245
D48,18.510058,73.814159,67,136
D3,18.491327,73.840479,48,307
D45,18.566551,73.838055,107,240
D4,18.508364,73.858225,45,325
D5,18.515281,73.82969,66,115
D41,18.543726,73.858529,120,44
D46,18.542131,73.808108,32,75
D49,18.508458,73.808321,69,265
D31,18.54424,73.830792,45,113
D6,18.567428,73.904599,36,207
D34,18.556434,73.843637,43,191
D42,18.569831,73.835892,55,349
D1,18.478603,73.821526,43,277
D41,18.473794,73.846641,41,150
D6,18.559694,73.870431,51,163
D35,18.529409,73.826983,3,177
D31,18.567075,73.839096,3,10
D11,18.548125,73.864145,67,295
D44,18.539169,73.904043,100,76
D27,18.52185,73.824018,51,145
D27,18.544164,73.875259,0,78
D25,18.507204,73.812117,111,151
D1,18.55899,73.900795,55,63
D8,18.556401,73.854778,51,34
D19,18.475439,73.809361,34,300
D47,18.476828,73.811396,66,148
D28,18.529123,73.890454,1,322
D2,18.497622,73.828359,3,209
D37,18.543096,73.819984,61,207
D25,18.529325,73.809111,44,345
D48,18.506619,73.889933,0,93
D25,18.518303,73.876713,51,103
D24,18.51421,73.88186,44,93
D3,18.544765,73.86305,34,115
D8,18.560871,73.823275,10,48
D12,18.473742,73.899475,116,345
D40,18.47954,73.831286,55,153
D28,18.543128,73.85126,46,111
D24,18.497704,73.830564,42,136
D7,18.555573,73.861669,5,186
D49,18.554748,73.88851,47,336
D45,18.568313,73.883945,45,16
D7,18.513891,73.891937,30,2
D3,18.566259,73.822148,83,161
D2,18.517211,73.869775,38,103
D9,18.475173,73.852411,87,184
D2,18.555877,73.856104,70,243
D44,18.51033,73.867441,54,141
D12,18.543058,73.881933,35,149
D2,18.563467,73.873453,4,0
D17,18.55131,73.826246,10,23
D22,18.497559,73.810138,117,89
D33,18.524029,73.836659,30,349
D10,18.560921,73.887692,62,143
D31,18.538186,73.875851,66,40
D42,18.474775,73.890076,85,205
D27,18.522807,73.861716,8,194
D10,18.483771,73.809158,85,28
D29,18.540355,73.904872,102,55
D16,18.527187,73.90237,59,83
D49,18.559939,73.869754,35,186
D15,18.490125,73.88184,66,156
D16,18.500377,73.870286,10,336
D9,18.54203,73.821161,69,253
D25,18.495426,73.820599,46,137
D19,18.495642,73.887482,33,77
D39,18.486731,73.859783,65,339
D33,18.47277,73.827866,2,244
D2,18.510245,73.820111,6,164
D33,18.518647,73.838551,37,222
D31,18.53547,73.874686,38,342
D15,18.487041,73.866116,67,333
D39,18.547565,73.857046,57,65
D20,18.537725,73.902124,46,132
D42,18.561754,73.845907,95,200
D33,18.545836,73.838357,39,175
D14,18.543828,73.828781,109,241
D47,18.556087,73.808226,36,281
D20,18.494517,73.849391,62,120
D13,18.550962,73.849361,69,218
D26,18.550596,73.8682,35,75
D3,18.477992,73.852016,66,229
D35,18.551022,73.87469,40,207
D21,18.535105,73.862823,35,208
D24,18.517965,73.89892,4,261
D14,18.472909,73.883651,34,47
D19,18.497645,73.90222,85,109
D5,18.489067,73.807431,67,24
D45,18.480648,73.882838,7,24
D29,18.552451,73.822399,47,171
D49,18.528086,73.895073,38,356
D36,18.516714,73.896007,5,128
D29,18.539141,73.827601,51,341
D44,18.548519,73.837992,5,220
D40,18.553689,73.869261,47,333
D29,18.506115,73.819796,49,81
D11,18.505304,73.820419,33,90
D2,18.568153,73.858609,30,52
D29,18.56295,73.876507,30,16
D41,18.543216,73.812756,38,328
D33,18.56441,73.853143,109,41
D20,18.506844,73.809665,46,101
D34,18.545232,73.874308,42,30
D14,18.510546,73.813476,64,331
D20,18.554325,73.873535,2,115
D40,18.564089,73.904519,51,166
D46,18.567596,73.902406,66,93
D38,18.522965,73.826175,30,294
D10,18.564658,73.808133,53,218
D16,18.547636,73.879155,46,278
D4,18.471885,73.816654,101,275
D5,18.484878,73.904366,44,114
D31,18.566575,73.813027,87,342
D48,18.508595,73.902991,61,47
D45,18.498472,73.838505,52,354
D22,18.493697,73.89356,89,127
D31,18.475649,73.818456,48,331
D17,18.563936,73.893785,55,52
D8,18.485941,73.843548,44,350
D37,18.537663,73.892397,34,56
D11,18.507411,73.896125,6,331
D7,18.510899,73.859001,33,200
D8,18.506102,73.821709,95,224
D35,18.545265,73.819273,69,216
D37,18.490563,73.872442,53,319
D8,18.549048,73.811245,36,254
D40,18.52587,73.862928,54,106
D32,18.540825,73.846321,50,124
D37,18.564677,73.856234,8,275
D34,18.475198,73.839071,50,246
D35,18.569609,73.81315,49,158
D20,18.507188,73.846588,46,328
D1,18.490348,73.847037,40,145
D50,18.499743,73.847594,89,17
D24,18.488123,73.835096,35,233
D15,18.566091,73.906131,38,38
D3,18.564882,73.894965,31,195
D34,18.472508,73.819121,60,175
D23,18.472113,73.858908,1,345
D25,18.569647,73.851171,49,13
D18,18.532181,73.861646,58,16
D50,18.55571,73.852103,30,37
D38,18.496171,73.87427,66,148
D30,18.548044,73.862365,33,274
D16,18.516678,73.890721,30,142
D49,18.517353,73.845798,57,326
D33,18.473618,73.867552,106,53
D38,18.528578,73.901195,70,48
D11,18.493338,73.84928,42,203
D45,18.499272,73.905603,45,194
D34,18.55603,73.850568,5,146
D35,18.485902,73.877738,31,108
D17,18.471512,73.859255,47,320
D35,18.566726,73.821557,93,285
D9,18.480832,73.893724,68,319
D30,18.483897,73.823118,9,183
D24,18.496859,73.887749,62,164
D36,18.489286,73.812899,81,97
D45,18.515163,73.83643,64,246
D11,18.533423,73.847019,70,19
D23,18.48463,73.906377,2,67
D37,18.540701,73.811454,68,139
D20,18.488098,73.869466,6,122
D22,18.504878,73.86383,48,232
D9,18.512705,73.855905,66,103
D38,18.491578,73.848485,33,0
D34,18.533966,73.847494,46,264
D24,18.48829,73.815923,47,339
D30,18.489552,73.86967,40,134
D11,18.474201,73.827422,56,29
D42,18.536556,73.85532,58,142
D21,18.558515,73.884535,82,128
D50,18.516455,73.837781,60,129
D34,18.567079,73.90274,37,290
D46,18.547252,73.90256,52,195
D4,18.564402,73.89015,103,258
D7,18.557574,73.848692,62,189
D30,18.490366,73.807482,7,32
D43,18.519511,73.893189,54,345
D48,18.487366,73.808174,49,2
D27,18.501148,73.896846,49,68
D36,18.517599,73.867091,9,116
D1,18.55921,73.899562,70,327
D26,18.553827,73.863313,46,238
D12,18.486093,73.902447,51,263
D3,18.562741,73.856565,6,63
D21,18.497409,73.854469,2,4
D44,18.533806,73.831748,58,234
D41,18.471179,73.837688,110,110
D49,18.521469,73.807946,38,252
D15,18.497523,73.825052,9,200
D15,18.555081,73.885646,39,355
D1,18.471807,73.851983,91,65
D13,18.557183,73.847211,32,153
D12,18.495505,73.861132,2,116
D14,18.558934,73.817363,9,2
D18,18.500472,73.845356,30,214
D6,18.536869,73.874345,62,52
D13,18.473261,73.87109,9,262
D10,18.495474,73.84683,64,303
D19,18.566526,73.828888,69,185
D10,18.471023,73.880045,1,334
D5,18.502313,73.824702,84,245
D8,18.471701,73.826223,38,281
D21,18.563972,73.904467,48,80
D14,18.562382,73.852837,65,310
D44,18.494787,73.876213,36,357
D50,18.512137,73.864945,43,99
